Item-Name,Boss-Name,Raid-Instanz,Ruestungstyp
Umhang des gefallenen Gottes,C'Thun,AQ40,Umhang
Ring des gefallenen Gottes,C'Thun,AQ40,Ring
Szepter des falschen Propheten,C'Thun,AQ40,Einhand
Kaiserliche Qirajiinsignien,Trash Mobs,AQ40,Questgegenstand
Kaiserliche Qirajiregalien,Trash Mobs,AQ40,Questgegenstand
Blaue Qirajiresonanzkristall,Trash Mobs,AQ40,Reittier
Grüne Qirajiresonanzkristall,Trash Mobs,AQ40,Reittier
Rote Qirajiresonanzkristall,Trash Mobs,AQ40,Reittier
Gelbe Qirajiresonanzkristall,Trash Mobs,AQ40,Reittier
Formel: Handschuhe - Feuerkraft,Trash Mobs,AQ40,Rezept
Formel: Handschuhe - Frostkraft,Trash Mobs,AQ40,Rezept
Formel: Handschuhe - Heilkraft,Trash Mobs,AQ40,Rezept
Formel: Handschuhe - Schattenmacht,Trash Mobs,AQ40,Rezept
Formel: Handschuhe - Überragende Beweglichkeit,Trash Mobs,AQ40,Rezept
Formel: Umhang - Ausweichen,Trash Mobs,AQ40,Rezept
Formel: Umhang - Verstohlensheit,Trash Mobs,AQ40,Rezept
Formel: Waffe - Beweglichkeit,Trash Mobs,AQ40,Rezept
Formel: Waffe - Stärke,Trash Mobs,AQ40,Rezept
Formel: Waffe - Unheilige Waffe,Trash Mobs,AQ40,Rezept
Muster: Blutrebenstiefel,Trash Mobs,AQ40,Rezept
Muster: Blutrebengamaschen,Trash Mobs,AQ40,Rezept
Muster: Blutrebenweste,Trash Mobs,AQ40,Rezept
Muster: Schwarzes Sturm-Set,Trash Mobs,AQ40,Rezept
Muster: Blaue Drachenschuppenweste,Trash Mobs,AQ40,Rezept
Muster: Chromatischer Umhang,Trash Mobs,AQ40,Rezept
Muster: Kernhundstiefel,Trash Mobs,AQ40,Rezept
Muster: Teufelssauriergamaschen,Trash Mobs,AQ40,Rezept
Muster: Handschuhe der Sturmschleier,Trash Mobs,AQ40,Rezept
Muster: Gamaschen der Sturmschleier,Trash Mobs,AQ40,Rezept
Muster: Verderbte Schuppenarmschienen,Trash Mobs,AQ40,Rezept
Muster: Verderbter Schuppengürtel,Trash Mobs,AQ40,Rezept
Muster: Verderbte Schuppenstulpen,Trash Mobs,AQ40,Rezept
Muster: Sandpirscherarmschienen,Trash Mobs,AQ40,Rezept
Muster: Sandpirschergurt,Trash Mobs,AQ40,Rezept
Muster: Sandpirscherstulpen,Trash Mobs,AQ40,Rezept
Plan: Dicke Obsidianbrustplatte,Trash Mobs,AQ40,Rezept
Plan: Gezackter Obsidianschild,Trash Mobs,AQ40,Rezept
Plan: Leichte Obsidianbrustplatte,Trash Mobs,AQ40,Rezept
Plan: Geschwärzte Brustplatte,Trash Mobs,AQ40,Rezept
Plan: Brustplatte der Dämmerung,Trash Mobs,AQ40,Rezept
Plan: Eisenrankenarmschienen,Trash Mobs,AQ40,Rezept
Plan: Eisenrankengürtel,Trash Mobs,AQ40,Rezept
Plan: Eisenrankenhandschuhe,Trash Mobs,AQ40,Rezept
Anleitung: Mächtiger Trollbluttrank,Trash Mobs,AQ40,Rezept
Rezept: Großer Natur-Schutztrank,Trash Mobs,AQ40,Rezept
Rezept: Großer Schattenschutztrank,Trash Mobs,AQ40,Rezept
Rezept: Macht der Weisen,Trash Mobs,AQ40,Rezept
Handbuch: Aspekt des Geparden I,Trash Mobs,AQ40,Sonstige
Handbuch: Aspekt des Falken VI,Trash Mobs,AQ40,Sonstige
Handbuch: Mehrfachschuss V,Trash Mobs,AQ40,Sonstige
Handbuch: Verderbnis V,Trash Mobs,AQ40,Sonstige
Handbuch: Furcht III,Trash Mobs,AQ40,Sonstige
Handbuch: Fluch der Pein VI,Trash Mobs,AQ40,Sonstige
Handbuch: Einäschern VII,Trash Mobs,AQ40,Sonstige
Handbuch: Gebet der Willenskraft II,Trash Mobs,AQ40,Sonstige
Handbuch: Fluch der Elemente IV,Trash Mobs,AQ40,Sonstige
Handbuch: Große Willenskraft IV,Trash Mobs,AQ40,Sonstige
Handbuch: Gedankenkontrolle II,Trash Mobs,AQ40,Sonstige
Handbuch: Gedankensicht III,Trash Mobs,AQ40,Sonstige
Handbuch: Frostblitz XI,Trash Mobs,AQ40,Sonstige
Handbuch: Blinzeln IX,Trash Mobs,AQ40,Sonstige
Handbuch: Arkane Geschosse IX,Trash Mobs,AQ40,Sonstige
Handbuch: Gegenzauber V,Trash Mobs,AQ40,Sonstige
Handbuch: Flammenstoß VII,Trash Mobs,AQ40,Sonstige
Handbuch: Verwandlung: Schwein,Trash Mobs,AQ40,Sonstige
Handbuch: Heilende Berührung XI,Trash Mobs,AQ40,Sonstige
Handbuch: Mal der Wildnis V,Trash Mobs,AQ40,Sonstige
Handbuch: Gelassenheit IV,Trash Mobs,AQ40,Sonstige
Handbuch: Totem der Manaflut I,Trash Mobs,AQ40,Sonstige
Handbuch: Totem des Ingrimms IV,Trash Mobs,AQ40,Sonstige
Handbuch: Heilung V,Trash Mobs,AQ40,Sonstige
Handbuch: Gebet der Seelenstärke VII,Trash Mobs,AQ40,Sonstige
Handbuch: Siegel des Befehls VI,Trash Mobs,AQ40,Sonstige
Handbuch: Heiliges Licht IX,Trash Mobs,AQ40,Sonstige
Handbuch: Zerhäckseln V,Trash Mobs,AQ40,Sonstige
Handbuch: Tödliches Gift IV,Trash Mobs,AQ40,Sonstige
Handbuch: Kaltblütigkeit I,Trash Mobs,AQ40,Sonstige
Handbuch: Blutdurst VI,Trash Mobs,AQ40,Sonstige
Handbuch: Heldenhafter Stoß IX,Trash Mobs,AQ40,Sonstige
